nmodules 14



################### DECODE INFO ########################################################################
## Channel maps for decoding explained                                                                ##
## Each entry corresponds to one APV card                                                             ## 
## Crate = ROC ID = 2 and 4  for SBS VTP                                                              ##
## Slot = 11 for BigBite VTP                                                                          ##
## fiber/mpd is fiber number for an MPD module, this is unique for each module within a VTP/SSP       ##
## gemid is unique "production ID" of a GEM module, not currently used by analysis but useful         ##
## for bookkeeping/tracking                                                                           ##
## adc_ch is the unique adc channel of this APV card within its associated MPD                        ##
## i2c is the "i2c address" of this APV card (not currently used by analysis)                         ##
## pos maps APV cards to physical locations on the detector                                           ##
## invert specifies whether strip index runs from "right-to-left" or "left-to-right" within an APV    ##
## axis specifies which strip orientation/dimension of the readout strips connected to this APV       ##
## ORDER of entries in the maps is:                                                                   ##
## vtpcrate  slot  fiber  gemid  adc_ch   i2c   pos     invert   axis                              ##
########################################################################################################

#Front Layer (L1 - m0): UVAXW L1 (vtp5)
## vtpcrate  slot    fiber   gemid    adc_ch   i2c     pos   invert   axis  
m0.chanmap
     58      11       0     100       0       3       0       0       0
     58      11       0     100       1       2       1       0       0
     58      11       0     100       2       1       2       0       0
     58      11       0     100       3       0       3       0       0
     58      11       0     100       4       7       4       0       0
     58      11       0     100       5       6       5       0       0
     58      11       0     100       6       5       6       0       0
     58      11       0     100       7       4       7       0       0
     58      11       0     100       8      11      11       0       0
     58      11       0     100       9      10      12       0       0
     58      11       0     100      10       9      13       0       0
     58      11       0     100      11       8      14       0       0
     58      11       0     100      12      14      15       0       0
     58      11       0     100      13      13      16       0       0
     58      11       0     100      14      12      17       0       0
     58      11       1     100       0       2      18       0       0
     58      11       1     100       1       1      19       0       0
     58      11       1     100       2       0      20       0       0
     58      11       1     100       4       7      21       0       0
     58      11       1     100       5       6      22       0       0
     58      11       1     100       6       5      23       0       0
     58      11       1     100       7       4      24       0       0
     58      11       1     100       8      11      25       0       0
     58      11       1     100       9      10      26       0       0
     58      11       1     100      10       9      27       0       0
     58      11       1     100      11       8      28       0       0
     58      11       1     100      12      14      26       1       1
     58      11       1     100      13      13      25       1       1
     58      11       1     100      14      12      24       1       1
     58      11       2     100       3       0       0       1       1
     58      11       2     100       2       1       1       1       1
     58      11       2     100       1       2       2       1       1
     58      11       2     100       0       3       3       1       1
     58      11       2     100       7       4       4       1       1
     58      11       2     100       6       5       5       1       1
     58      11       2     100       5       6       6       1       1
     58      11       2     100       4       7       7       1       1
     58      11       2     100      14      12       8       1       0
     58      11       2     100      13      13       9       1       0
     58      11       2     100      12      14      10       1       0
     58      11       2     100      11       8       8       1       1
     58      11       2     100      10       9       9       1       1
     58      11       2     100       9      10      10       1       1
     58      11       2     100       8      11      11       1       1
     58      11       3     100       3       0      12       1       1
     58      11       3     100       2       1      13       1       1
     58      11       3     100       1       2      14       1       1
     58      11       3     100       0       3      15       1       1
     58      11       3     100       7       4      16       1       1
     58      11       3     100       6       5      17       1       1
     58      11       3     100       5       6      18       1       1
     58      11       3     100       4       7      19       1       1
     58      11       3     100      13      13      29       1       0
     58      11       3     100      12      14      30       1       0
     58      11       3     100      11       8      20       1       1
     58      11       3     100      10       9      21       1       1
     58      11       3     100       9      10      22       1       1
     58      11       3     100       8      11      23       1       1

